,location,BHK,total_sqft,bath,price
2548,Lulla Nagar,2,1255.0,2.0,92.0
2549,Mahatma Gandhi Road,4,1400.0,3.0,91.15
2550,Mangalwar peth,2,1235.0,2.0,43.63
2551,Manik Bagh,3,1380.0,2.0,52.0
2553,Model colony,2,1238.0,2.0,67.0
2554,Mukund Nagar,3,1465.0,2.0,74.72
2555,Mundhawa,2,1418.0,2.0,103.0
2556,Nagar Road,3,1650.0,3.0,165.0
2557,Nana Peth,1,351.0,1.0,16.0
2558,Narayan Peth,2,1279.0,2.0,48.0
2559,Narayangaon,3,1870.0,3.0,200.0
2561,Padmavati,3,2526.0,2.0,250.0
2562,Parvati Darshan,3,1550.0,2.0,150.0
2564,Paud Road,3,1845.0,2.0,68.27
2565,Pirangut,3,1360.0,2.0,59.27
2566,Prabhat Road,3,1150.0,2.0,75.0
2567,Pune Railway Station,2,1260.0,2.0,49.5
2568,Rasta Peth,3,1200.0,3.0,74.0
2569,Raviwar Peth,2,965.0,2.0,42.5
2570,Sadashiv Peth,3,1350.0,2.0,48.0
2571,Sahakar Nagar,2,1447.0,2.0,75.97
2572,Salunke Vihar,3,1229.0,3.0,86.03
2573,Sasson Road,2,1027.0,2.0,43.0
2574,Satara Road,2,1153.0,2.0,48.5
2576,Shaniwar Peth,2,1065.0,2.0,50.0
2577,Shivaji Nagar,2,1030.0,2.0,61.0
2578,Shukrawar Peth,2,1340.0,2.0,61.0
2580,Somwar Peth,1,600.0,1.0,32.0
2581,Swargate,3,1410.0,2.0,44.42
2582,Tilak Road,2,1055.0,2.0,45.35
2583,Uruli Devachi,2,1304.0,2.0,79.0
2585,Wadgaon Sheri,2,990.0,2.0,31.5
2586,Viman Nagar,2,1035.0,2.0,39.33
2587,Vishrant Wadi,1,700.0,1.0,30.09
2588,Wagholi,2,1120.0,2.0,43.0
2589,Wakadewadi,2,1300.0,2.0,73.0
2590,Wanowrie,2,1239.0,2.0,82.0
2591,Warje,3,1403.0,3.0,51.63
2592,Yerawada,2,1365.0,2.0,92.0
2594,Ambegaon Budruk,3,1130.0,2.0,45.19
2595,Anandnagar,3,1776.42,3.0,105.0
2597,Aundh Road,2,1194.0,2.0,47.0
2598,Balaji Nagar,2,1107.0,2.0,33.0
2599,Baner,3,2319.0,3.0,180.0
2600,Baner road,3,1520.0,3.0,80.0
2601,Bhandarkar Road,3,1536.0,3.0,89.0
2603,Bibvewadi,2,1050.0,2.0,38.0
2604,Bopodi,3,1850.0,3.0,146.0
2605,Budhwar Peth,2,1112.0,2.0,62.0
2606,Bund Garden Road,3,1535.0,3.0,72.5
2607,Camp,2,1050.0,2.0,35.0
2609,Dapodi,3,1250.0,3.0,65.0
2610,Deccan Gymkhana,2,1187.0,2.0,52.0
2611,Dehu Road,2,1164.0,2.0,56.0
2612,Dhankawadi,3,1395.0,2.0,62.78
2613,Dhayari Phata,3,2072.0,3.0,108.0
2614,Dhole Patil Road,3,1450.0,3.0,60.91
2615,Erandwane,3,1550.0,3.0,82.0
2616,Fatima Nagar,2,1315.0,2.0,90.0
2618,Ganesh Peth,2,1210.0,2.0,72.0
2619,Ganeshkhind,3,1075.0,2.0,47.0
2621,Ghorpadi,3,1215.0,3.0,42.2
2622,Gokhale Nagar,3,1470.0,2.0,75.0
2624,Guruwar peth,3,1590.0,2.0,125.0
2625,Hadapsar,2,1050.0,2.0,36.75
2626,Hadapsar Industrial Estate,2,1306.0,2.0,55.91
2628,Jangali Maharaj Road,3,1445.0,3.0,64.0
2629,Kalyani Nagar,3,1220.0,3.0,58.0
2631,Karve Road,2,1215.0,2.0,51.26
2632,Kasba Peth,3,1920.0,2.0,88.0
2633,Katraj,2,1390.0,2.0,60.0
2634,Khadaki,3,800.0,2.0,75.0
2636,Kharadi,2,1196.0,2.0,71.74
2637,Kondhwa,3,1550.0,2.0,75.0
2638,Kondhwa Budruk,2,1418.0,2.0,101.0
2639,Kondhwa Khurd,3,1655.0,3.0,115.0
2640,Koregaon Park,2,1115.0,2.0,33.45
2641,Kothrud,2,1170.0,2.0,68.0
2642,Law College Road,2,1035.0,2.0,38.3
2643,Laxmi Road,3,1306.0,2.0,58.0
2644,Lulla Nagar,2,750.0,2.0,22.0
2645,Mahatma Gandhi Road,3,1917.0,3.0,122.0
2646,Mangalwar peth,3,1615.0,3.0,58.0
2647,Manik Bagh,2,1071.0,2.0,52.25
2648,Market yard,2,1325.0,2.0,119.0
2650,Mukund Nagar,3,1400.0,2.0,88.0
2651,Mundhawa,2,1246.0,2.0,82.0
2652,Nagar Road,2,1215.0,2.0,40.0
2653,Nana Peth,2,1200.0,2.0,49.5
2655,Narayangaon,2,1200.0,2.0,60.0
2656,Navi Peth,2,945.0,2.0,50.0
2658,Parvati Darshan,2,1175.0,2.0,52.0
2659,Pashan,2,920.0,2.0,63.0
2661,Pirangut,2,1600.0,2.0,110.0
2664,Rasta Peth,2,955.0,1.0,34.01
2665,Raviwar Peth,3,1750.0,3.0,100.0
2666,Sadashiv Peth,3,1425.0,2.0,64.0
2668,Salunke Vihar,2,1165.0,2.0,40.5
2669,Sasson Road,2,1050.0,2.0,48.0
2670,Satara Road,3,1370.0,2.0,75.0
2671,Senapati Bapat Road,3,1374.0,2.0,72.0
2672,Shaniwar Peth,3,1754.0,3.0,124.0
2673,Shivaji Nagar,3,1847.0,3.0,110.0
2674,Shukrawar Peth,3,1850.0,4.0,139.0
2676,Somwar Peth,2,1187.0,2.0,45.0
2677,Swargate,3,1400.0,2.0,40.44
2678,Tilak Road,3,600.0,2.0,30.0
2681,Wadgaon Sheri,1,693.0,1.0,34.3
2683,Vishrant Wadi,2,1021.0,2.0,48.0
2684,Wagholi,2,1165.0,2.0,95.0
2685,Wakadewadi,3,1756.0,3.0,92.0
2686,Wanowrie,3,1739.0,3.0,105.0
2687,Warje,2,1280.0,2.0,65.0
2688,Yerawada,2,1215.0,2.0,58.86
2689,Alandi Road,2,950.0,2.0,46.5
2690,Ambegaon Budruk,3,1082.0,2.0,49.0
2691,Anandnagar,2,1050.0,2.0,42.0
2692,Aundh,2,1080.0,2.0,53.35
2693,Aundh Road,2,1100.0,2.0,55.0
2695,Baner,2,1311.0,2.0,78.0
2696,Baner road,3,1608.0,3.0,67.98
2697,Bhandarkar Road,2,1160.0,2.0,36.0
2698,Bhavani Peth,2,1170.0,2.0,71.0
2699,Bibvewadi,2,1155.0,2.0,40.6
2700,Bopodi,3,1255.0,2.0,77.68
2701,Budhwar Peth,2,1065.0,2.0,44.95
2702,Bund Garden Road,1,674.0,1.0,21.0
2703,Camp,3,1936.0,4.0,126.0
2705,Dapodi,2,1100.0,2.0,38.45
2706,Deccan Gymkhana,3,2257.0,4.0,157.0
2707,Dehu Road,2,1055.0,2.0,55.0
2708,Dhankawadi,3,1530.0,3.0,51.87
2709,Dhayari Phata,3,1700.0,3.0,97.0
2710,Dhole Patil Road,3,1575.0,2.0,78.0
2712,Fatima Nagar,2,1263.0,2.0,93.32
2713,Fergusson College Road,3,1559.0,3.0,69.315
2714,Ganesh Peth,2,1043.0,2.0,65.0
2715,Ganeshkhind,2,1255.0,2.0,53.5
2716,Ghorpade Peth,2,1352.5,2.0,93.865
2717,Ghorpadi,1,590.0,1.0,13.57
2718,Gokhale Nagar,3,1550.0,3.0,120.0
2719,Gultekdi,3,1220.0,3.0,56.0
2720,Guruwar peth,3,1900.0,3.0,160.0
2721,Hadapsar,3,1360.0,3.0,55.0
2722,Hadapsar Industrial Estate,2,1100.0,2.0,75.0
2723,Hingne Khurd,3,1455.0,3.0,73.31
2724,Jangali Maharaj Road,2,1035.0,2.0,40.5
2725,Kalyani Nagar,2,1152.0,2.0,69.0
2726,Karve Nagar,2,1299.0,2.0,82.0
2727,Karve Road,3,1157.0,2.0,75.0
2728,Kasba Peth,2,1050.0,2.0,52.5
2729,Katraj,2,1050.0,2.0,40.0
2730,Khadaki,2,1246.0,2.0,67.4
2731,Khadki,3,1929.0,3.0,115.0
2732,Kharadi,2,1285.0,2.0,60.0
2733,Kondhwa,3,1200.0,2.0,65.0
2735,Kondhwa Khurd,3,1850.0,3.0,170.0
2736,Koregaon Park,3,1025.0,2.0,37.0
2737,Kothrud,2,1124.0,3.0,80.0
2738,Law College Road,2,1012.0,2.0,54.59
2740,Lulla Nagar,2,871.0,2.0,55.0
2741,Mahatma Gandhi Road,2,1020.0,2.0,40.0
2742,Mangalwar peth,3,1550.0,3.0,73.5
2744,Market yard,3,1410.0,2.0,80.0
2746,Mukund Nagar,2,1118.0,2.0,75.0
2747,Mundhawa,2,1098.0,2.0,68.0
2748,Nagar Road,2,1130.0,2.0,45.2
2749,Nana Peth,2,1145.0,2.0,75.0
2750,Narayan Peth,3,950.0,3.0,80.0
2751,Narayangaon,2,1051.0,2.0,33.0
2753,Padmavati,2,1102.0,2.0,53.67
2754,Parvati Darshan,2,1478.0,2.0,125.0
2755,Pashan,1,645.0,1.0,16.45
2756,Paud Road,2,823.0,2.0,50.63
2757,Pirangut,2,880.0,2.0,35.0
2759,Pune Railway Station,3,1991.0,4.0,100.0
2760,Rasta Peth,3,1100.0,3.0,50.0
2761,Raviwar Peth,3,1745.0,3.0,115.0
2762,Sadashiv Peth,2,1226.0,3.0,135.0
2763,Sahakar Nagar,3,680.0,4.0,68.0
2764,Salunke Vihar,2,1100.0,2.0,70.0
2766,Satara Road,2,1450.0,2.0,58.0
2768,Shaniwar Peth,2,1150.0,2.0,54.0
2769,Shivaji Nagar,3,1843.0,3.0,95.84
2770,Shukrawar Peth,4,2200.0,4.0,195.0
2771,Sinhagad Road,2,1090.0,3.0,44.0
2772,Somwar Peth,2,1132.0,2.0,42.0
2773,Swargate,2,1375.0,2.0,80.0
2775,Uruli Devachi,1,760.0,1.0,50.3
2776,Vadgaon Budruk,2,1180.0,2.0,65.0
2777,Wadgaon Sheri,2,918.0,2.0,45.0
2778,Viman Nagar,5,600.0,5.0,50.0
2779,Vishrant Wadi,2,1200.0,1.0,53.0
2780,Wagholi,2,1372.0,2.0,61.0
2782,Wanowrie,3,1728.0,3.0,95.0
2784,Yerawada,2,1200.0,2.0,80.0
2785,Alandi Road,2,1280.0,2.0,56.0
2787,Anandnagar,3,1455.0,2.0,56.0
2788,Aundh,1,440.0,1.0,28.0
2789,Aundh Road,3,1500.0,3.0,97.0
2790,Balaji Nagar,3,1800.0,3.0,110.0
2791,Baner,3,1525.0,3.0,96.0
2792,Baner road,2,1204.0,2.0,38.5
2793,Bhandarkar Road,2,1225.0,2.0,53.55
2795,Bibvewadi,3,1650.0,3.0,122.0
2796,Bopodi,3,880.0,2.0,18.0
2798,Bund Garden Road,2,1200.0,2.0,55.0
2800,Chandan Nagar,2,1005.0,2.0,42.0
2801,Dapodi,3,1562.0,3.0,103.0
2804,Dhankawadi,2,1200.0,2.0,42.0
2805,Dhayari Phata,3,1555.0,3.0,82.5
2806,Dhole Patil Road,2,1550.0,2.0,71.0
2807,Erandwane,2,1190.0,2.0,67.0
2808,Fatima Nagar,2,1070.0,2.0,50.0
2809,Fergusson College Road,2,1800.0,2.69,28.785
2810,Ganesh Peth,2,1020.0,2.0,42.48
2811,Ganeshkhind,3,1610.0,3.0,115.0
2812,Ghorpade Peth,1,700.0,1.0,41.0
2813,Ghorpadi,3,1300.0,2.0,49.0
2814,Gokhale Nagar,2,1420.0,2.0,123.0
2815,Gultekdi,9,1200.0,9.0,100.0
2816,Guruwar peth,3,1069.0,3.0,65.4
2817,Hadapsar,3,1900.0,3.0,123.0
2818,Hadapsar Industrial Estate,2,1655.0,2.0,97.65
2819,Hingne Khurd,2,1155.0,2.0,40.42
2820,Jangali Maharaj Road,3,1300.0,2.0,70.0
2821,Kalyani Nagar,2,1100.0,2.0,45.0
2822,Karve Nagar,2,1030.0,2.0,42.0
2823,Karve Road,2,2105.0,2.0,70.2
2824,Kasba Peth,3,1700.0,3.0,126.0
2825,Katraj,3,1760.0,3.0,139.0
2827,Khadki,2,1400.0,2.0,67.0
2828,Kharadi,2,1200.0,2.0,53.0
2829,Kondhwa,2,912.0,2.0,55.0
2830,Kondhwa Budruk,2,1102.0,2.0,48.0
2831,Kondhwa Khurd,3,1535.0,3.0,55.0
2832,Koregaon Park,2,1243.0,2.0,46.0
2833,Kothrud,2,918.0,2.0,63.2
2834,Law College Road,3,1500.0,2.0,70.0
2836,Lulla Nagar,3,1476.0,3.0,89.0
2837,Mahatma Gandhi Road,2,1200.0,2.0,65.0
2838,Mangalwar peth,1,606.0,1.0,34.78
2839,Manik Bagh,2,1100.0,2.0,61.0
2840,Market yard,3,1295.0,2.0,59.5
2841,Model colony,1,527.0,1.0,26.0
2842,Mukund Nagar,2,1300.0,2.0,80.0
2843,Mundhawa,3,680.0,4.0,68.0
2844,Nagar Road,1,1260.0,1.0,41.0
2845,Nana Peth,2,1140.0,2.0,75.2
2846,Narayan Peth,1,1500.0,1.0,37.5
2847,Narayangaon,3,2321.0,4.0,128.0
2848,Navi Peth,2,1390.0,2.0,62.0
2849,Padmavati,3,1725.0,3.0,90.0
2851,Pashan,3,1186.0,2.0,63.0
2852,Paud Road,2,1230.0,2.0,85.0
2853,Pirangut,1,600.0,1.0,17.0
2854,Prabhat Road,3,1313.0,3.0,96.0
2855,Pune Railway Station,2,900.0,2.0,55.0
2856,Rasta Peth,2,1250.0,2.0,66.25
2858,Sadashiv Peth,1,660.0,1.0,54.0
2859,Sahakar Nagar,2,1036.0,2.0,105.0
2861,Sasson Road,2,1100.0,2.0,70.0
2862,Satara Road,2,1950.0,2.69,46.8
2864,Shaniwar Peth,4,525.0,5.0,56.0
2865,Shivaji Nagar,2,1015.0,2.0,56.0
2866,Shukrawar Peth,1,812.0,1.0,26.0
2867,Sinhagad Road,3,1360.0,2.0,65.0
2868,Somwar Peth,3,2167.0,3.0,170.0
2869,Swargate,2,1200.0,2.0,35.0
2870,Tilak Road,2,1165.0,2.0,75.0
2871,Uruli Devachi,2,1274.0,2.0,70.0
2872,Vadgaon Budruk,2,1151.0,2.0,39.02
2873,Wadgaon Sheri,6,1060.0,6.0,110.0
2874,Viman Nagar,3,1626.0,2.0,120.0
2875,Vishrant Wadi,2,1035.0,2.0,35.77
2876,Wagholi,3,1272.0,4.0,75.0
2877,Wakadewadi,2,965.0,2.0,45.0
2878,Wanowrie,5,1600.0,5.0,140.0
2879,Warje,2,1070.0,2.0,42.79
2880,Yerawada,3,1570.0,2.0,65.0
2881,Alandi Road,2,1276.0,2.0,38.0
2882,Ambegaon Budruk,2,780.0,2.0,25.0
2883,Anandnagar,3,1000.0,2.0,65.0
2886,Balaji Nagar,3,1700.0,2.0,100.0
2887,Baner,3,1850.0,3.0,110.0
2888,Baner road,2,904.0,2.0,30.0
2889,Bhandarkar Road,2,1121.0,2.0,43.72
2890,Bhavani Peth,3,1385.0,2.0,58.17
2891,Bibvewadi,2,1270.0,2.0,69.85
2892,Bopodi,3,1450.0,3.0,56.0
2894,Bund Garden Road,1,730.0,1.0,35.0
2895,Camp,3,1580.0,3.0,53.56
2896,Chandan Nagar,2,1111.0,2.0,50.0
2897,Dapodi,4,1125.0,2.0,88.0
2898,Deccan Gymkhana,2,977.0,2.0,36.0
2899,Dehu Road,2,674.0,1.0,19.9
2901,Dhayari Phata,4,2540.0,4.0,115.0
2902,Dhole Patil Road,2,1290.0,2.0,100.0
2904,Fatima Nagar,2,795.0,2.0,32.54
2905,Fergusson College Road,2,700.0,1.0,35.0
2906,Ganesh Peth,2,1463.0,1.0,142.0
2908,Ghorpade Peth,3,1306.0,2.0,58.0
2909,Ghorpadi,3,2401.0,3.0,185.0
2910,Gokhale Nagar,4,1670.0,3.0,135.0
2912,Guruwar peth,3,1200.0,3.0,90.0
2913,Hadapsar,3,1804.0,3.0,121.0
2914,Hadapsar Industrial Estate,3,2065.0,4.0,210.0
2915,Hingne Khurd,3,1225.0,3.0,40.0
2916,Jangali Maharaj Road,2,1185.5,2.0,58.68
2917,Kalyani Nagar,2,900.0,2.0,56.0
2918,Karve Nagar,2,1350.0,2.0,91.0
2919,Karve Road,1,700.0,1.0,36.0
2920,Kasba Peth,2,1005.0,2.0,35.175
2921,Katraj,2,1160.0,2.0,46.39
2922,Khadaki,3,1680.0,3.0,99.27
2923,Khadki,2,1043.0,2.0,55.0
2924,Kharadi,4,1200.0,4.0,120.0
2925,Kondhwa,2,1040.0,2.0,46.0
2926,Kondhwa Budruk,3,1357.0,2.0,65.0
2927,Kondhwa Khurd,7,1600.0,7.0,104.0
2928,Koregaon Park,2,1225.0,2.0,47.0
2929,Kothrud,9,1500.0,6.0,80.0
2930,Law College Road,2,1130.0,2.0,40.0
2931,Laxmi Road,4,2500.0,4.0,150.0
2932,Lulla Nagar,3,1700.0,3.0,120.0
2933,Mahatma Gandhi Road,3,1549.0,3.0,65.0
2934,Mangalwar peth,2,1400.0,2.0,100.0
2935,Manik Bagh,2,1080.0,2.0,50.0
2936,Market yard,2,1180.0,2.0,100.0
2938,Mukund Nagar,3,1800.0,3.0,150.0
2939,Mundhawa,2,1225.0,2.0,67.38
2940,Nagar Road,1,890.0,1.0,75.0
2941,Nana Peth,2,1005.0,2.0,39.59
2942,Narayan Peth,2,1320.0,2.0,95.0
2943,Narayangaon,4,1475.0,2.0,50.0
2944,Navi Peth,3,1707.0,2.69,99.745
2945,Padmavati,2,1110.0,2.0,51.0
2946,Parvati Darshan,2,1300.0,2.0,54.0
2948,Paud Road,2,1128.0,2.0,65.35
2949,Pirangut,2,1452.19,2.0,100.0
2953,Raviwar Peth,2,630.0,1.0,35.0
2954,Sadashiv Peth,2,1243.0,2.0,48.5
2955,Sahakar Nagar,2,960.0,2.0,32.0
2956,Salunke Vihar,3,1690.0,3.0,100.0
2957,Sasson Road,2,735.0,2.0,35.0
2958,Satara Road,2,1365.0,2.0,73.0
2960,Shaniwar Peth,2,1420.0,2.0,99.39
2961,Shivaji Nagar,3,1570.0,3.0,68.0
2962,Shukrawar Peth,2,850.0,1.0,32.0
2963,Sinhagad Road,3,1575.0,2.0,110.0
2964,Somwar Peth,2,1418.0,2.0,104.0
2965,Swargate,2,1050.0,2.0,42.0
2966,Tilak Road,2,1065.0,2.0,42.6
2967,Uruli Devachi,3,1340.0,3.0,90.0
2968,Vadgaon Budruk,3,1610.0,3.0,92.0
2969,Wadgaon Sheri,2,1160.0,2.0,33.5
2970,Viman Nagar,2,1092.0,2.0,44.0
2971,Vishrant Wadi,2,1194.0,2.0,47.0
2972,Wagholi,3,1455.0,3.0,61.5
2973,Wakadewadi,1,734.0,1.0,19.82
2974,Wanowrie,2,799.0,2.0,38.0
2975,Warje,3,1896.0,3.0,75.0
2976,Yerawada,2,1100.0,2.0,48.0
2977,Alandi Road,2,1350.0,2.0,79.0
2978,Ambegaon Budruk,3,1355.0,3.0,61.0
2979,Anandnagar,2,1128.0,2.0,65.0
2980,Aundh,2,1350.0,2.0,90.0
2982,Balaji Nagar,3,1493.0,3.0,82.0
2983,Baner,2,1098.0,2.0,43.91
2984,Baner road,3,1900.0,2.0,170.0
2985,Bhandarkar Road,3,1460.0,3.0,88.0
2987,Bibvewadi,5,1600.0,5.0,140.0
2988,Bopodi,2,1091.0,2.0,32.0
2989,Budhwar Peth,2,1180.0,2.0,42.0
2990,Bund Garden Road,2,1366.0,3.0,76.85
2991,Camp,3,1685.0,3.0,95.0
2992,Chandan Nagar,2,1260.0,2.0,100.0
2994,Deccan Gymkhana,3,1330.0,4.0,140.0
2995,Dehu Road,2,1200.0,2.0,130.0
2996,Dhankawadi,2,1346.0,2.0,96.17
2997,Dhayari Phata,1,630.0,1.0,13.86
2998,Dhole Patil Road,3,1476.0,2.69,98.94
2999,Erandwane,3,1850.0,3.0,140.0
3001,Fergusson College Road,2,755.0,1.0,34.0
3003,Ganeshkhind,2,1194.0,2.0,46.0
3006,Gokhale Nagar,1,800.0,1.0,52.0
3007,Gultekdi,3,2250.0,3.0,195.0
3008,Guruwar peth,2,1352.0,2.0,68.0
3009,Hadapsar,3,2002.0,3.0,112.0
3011,Hingne Khurd,2,1060.0,2.0,45.0
3012,Jangali Maharaj Road,3,1419.59,2.0,59.0
3013,Kalyani Nagar,2,1196.0,2.0,51.15
3014,Karve Nagar,3,1220.0,2.0,35.24
3015,Karve Road,3,1595.0,3.0,75.0
3016,Kasba Peth,2,1260.0,2.0,75.0
3017,Katraj,2,1100.0,2.0,47.0
3018,Khadaki,2,1550.0,2.0,140.0
3019,Khadki,2,1180.0,2.0,52.0
3021,Kondhwa,3,1662.0,3.0,85.0
3022,Kondhwa Budruk,2,1285.0,2.0,60.0
3023,Kondhwa Khurd,4,1080.0,4.0,75.0
3024,Koregaon Park,3,1862.0,3.0,119.0
3025,Kothrud,2,1419.0,2.0,48.0
3026,Law College Road,3,1410.0,3.0,43.71
3027,Laxmi Road,3,1560.0,2.0,62.4
3029,Mahatma Gandhi Road,3,1634.0,3.0,78.0
3031,Manik Bagh,3,1150.0,2.0,44.0
3032,Market yard,2,1100.0,2.0,53.0
3033,Model colony,3,1616.0,3.0,65.0
3034,Mukund Nagar,2,1392.0,2.0,99.0
3035,Mundhawa,3,1798.0,3.0,120.0
3036,Nagar Road,3,1675.0,3.0,75.0
3037,Nana Peth,2,792.0,2.0,70.0
3038,Narayan Peth,5,2000.0,4.0,103.0
3040,Navi Peth,3,1700.0,3.0,124.0
3041,Padmavati,2,1248.0,2.0,69.0
3042,Parvati Darshan,2,1147.0,2.0,54.0
3043,Pashan,2,1100.0,2.0,40.0
3044,Paud Road,3,1527.0,3.0,115.0
3045,Pirangut,5,2400.0,5.0,235.0
3046,Prabhat Road,1,525.0,1.0,25.0
3047,Pune Railway Station,2,1100.0,2.0,58.0
3048,Rasta Peth,2,1118.0,2.0,37.5
3049,Raviwar Peth,3,1476.0,3.0,75.0
3050,Sadashiv Peth,3,2100.0,3.0,75.0
3051,Sahakar Nagar,3,1215.0,2.0,46.5
3052,Salunke Vihar,2,1332.0,2.0,79.0
3053,Sasson Road,2,1350.0,2.0,49.0
3055,Senapati Bapat Road,2,1243.0,2.0,46.0
3056,Shaniwar Peth,2,1105.0,2.0,49.73
3058,Shukrawar Peth,2,1200.0,2.0,50.0
3059,Sinhagad Road,2,1251.0,2.0,47.4
3060,Somwar Peth,2,883.0,2.0,45.0
3061,Swargate,3,1400.0,2.0,67.0
3063,Uruli Devachi,3,1703.0,3.0,113.0
3064,Vadgaon Budruk,5,2500.0,5.0,130.0
3065,Wadgaon Sheri,3,1250.0,3.0,71.0
3066,Viman Nagar,2,933.0,2.0,43.0
3067,Vishrant Wadi,1,461.82,1.0,31.7
3068,Wagholi,2,1262.0,2.0,75.0
3069,Wakadewadi,2,915.0,2.0,48.0
3070,Wanowrie,3,1370.0,2.0,61.5
3071,Warje,2,1210.0,2.0,55.0
3072,Yerawada,3,2392.0,4.0,260.0
3073,Alandi Road,3,1500.0,2.0,85.0
3074,Ambegaon Budruk,2,1065.0,2.0,50.0
3076,Aundh,3,1515.0,3.0,65.0
3077,Aundh Road,4,1800.0,4.0,110.0
3078,Balaji Nagar,3,1445.0,2.0,40.31
3079,Baner,3,1300.0,2.0,55.0
3080,Baner road,2,989.0,2.0,60.0
3081,Bhandarkar Road,2,1300.0,2.0,85.0
3082,Bhavani Peth,3,1185.0,2.0,30.22
3083,Bibvewadi,5,1350.0,3.0,110.0
3084,Bopodi,2,1045.0,2.0,60.0
3085,Budhwar Peth,2,1205.0,2.0,42.18
3086,Bund Garden Road,2,1260.0,2.0,75.0
3088,Chandan Nagar,3,1500.0,2.0,125.0
3089,Dapodi,3,1250.0,2.0,42.5
3090,Deccan Gymkhana,2,1199.0,2.0,50.0
3091,Dehu Road,2,1385.0,2.0,83.09
3093,Dhayari Phata,2,1149.0,2.0,75.0
3094,Dhole Patil Road,3,2180.0,3.0,170.0
3095,Erandwane,8,1200.0,7.0,110.0
3098,Ganesh Peth,3,1818.0,3.0,135.0
3099,Ganeshkhind,2,1070.0,2.0,33.0
3101,Ghorpadi,3,1350.0,2.0,54.6
3102,Gokhale Nagar,2,630.0,1.0,27.0
3103,Gultekdi,2,1430.0,2.0,113.0
3104,Guruwar peth,3,2430.0,4.0,180.0
3106,Hadapsar Industrial Estate,2,1084.0,2.0,55.0
3107,Hingne Khurd,3,1186.0,2.0,56.0
3108,Jangali Maharaj Road,2,1255.0,2.0,50.0
3110,Karve Nagar,3,1541.0,3.0,69.84
3112,Kasba Peth,2,1295.0,2.0,70.0
3113,Katraj,3,1000.0,4.0,110.0
3115,Khadki,3,1370.0,2.0,54.79
3116,Kharadi,2,1100.0,2.0,40.0
3119,Kondhwa Khurd,3,1370.0,2.0,54.79
3120,Koregaon Park,2,1200.0,2.0,62.0
3121,Kothrud,4,2000.0,3.0,95.0
3124,Lulla Nagar,4,2400.0,5.0,253.0
3125,Mahatma Gandhi Road,3,1220.0,3.0,62.0
3126,Mangalwar peth,3,1950.0,3.0,130.0
3127,Manik Bagh,2,1178.0,2.0,73.0
3128,Market yard,3,1286.0,3.0,61.44
3129,Model colony,2,1160.0,2.0,42.0
3130,Mukund Nagar,2,918.0,2.0,55.0
3131,Mundhawa,3,1563.0,3.0,91.84
3132,Nagar Road,2,1326.0,2.0,62.17
3133,Nana Peth,3,1350.0,2.0,140.0
3135,Narayangaon,2,1240.0,2.0,39.06
3136,Navi Peth,2,1325.0,2.0,50.0
3137,Padmavati,2,1100.0,2.0,44.0
3139,Pashan,3,1605.0,3.0,50.0
3141,Pirangut,2,1260.0,2.0,60.0
3142,Prabhat Road,3,1553.0,3.0,83.09
3143,Pune Railway Station,2,1280.0,2.0,52.0
3144,Rasta Peth,3,1550.0,2.0,75.0
3145,Raviwar Peth,3,1445.0,2.0,125.0
3146,Sadashiv Peth,3,1550.0,3.0,74.0
3147,Sahakar Nagar,3,1515.0,2.0,80.91
3148,Salunke Vihar,3,1332.0,2.0,86.12
3149,Sasson Road,3,1652.0,3.0,70.0
3150,Satara Road,3,1570.0,3.0,105.0
3152,Shaniwar Peth,1,794.0,1.0,60.0
3153,Shivaji Nagar,3,1200.0,2.0,62.0
3159,Uruli Devachi,3,1750.0,3.0,110.0
3160,Vadgaon Budruk,2,1053.0,2.0,48.0
3161,Wadgaon Sheri,3,1100.0,3.0,53.0
3162,Viman Nagar,3,1665.0,3.0,70.0
3165,Wakadewadi,3,1447.0,3.0,80.0
3166,Wanowrie,2,1012.0,2.0,75.0
3167,Warje,3,1900.0,3.0,60.0
3168,Yerawada,2,1308.0,2.0,92.66
3170,Ambegaon Budruk,1,1351.0,2.0,53.0
3171,Anandnagar,2,1000.0,2.0,22.0
3173,Aundh Road,2,1140.0,2.0,49.11
3175,Baner,3,1250.0,2.0,55.0
3176,Baner road,3,1290.0,3.0,45.15
3177,Bhandarkar Road,2,1424.0,2.0,90.0
3178,Bhavani Peth,3,1320.0,2.0,60.6
3179,Bibvewadi,3,1662.0,3.0,85.5
3181,Budhwar Peth,2,1200.0,2.0,45.0
3182,Bund Garden Road,3,1975.0,3.0,210.0
3183,Camp,3,1295.0,2.0,59.5
3184,Chandan Nagar,3,1777.0,3.0,100.0
3185,Dapodi,3,1900.0,3.0,108.0
3186,Deccan Gymkhana,3,1576.0,3.0,59.1
3187,Dehu Road,2,1020.0,2.0,41.0
3188,Dhankawadi,3,2100.0,3.0,170.0
3189,Dhayari Phata,1,648.0,1.0,31.75
3190,Dhole Patil Road,3,1167.0,2.0,38.0
3192,Fatima Nagar,2,1220.0,2.0,50.89
3194,Ganesh Peth,2,1259.0,2.0,67.4
3195,Ganeshkhind,4,2000.0,4.0,82.0
3196,Ghorpade Peth,3,1800.0,3.0,80.0
3197,Ghorpadi,3,1991.0,3.0,160.0
3198,Gokhale Nagar,3,1665.0,3.0,110.0
3199,Gultekdi,2,1234.0,2.0,61.0
